genome,asset
arabidopsis_thaliana-ensembl-tair10,bismark_bt1_index
arabidopsis_thaliana-ensembl-tair10,bismark_bt2_index
arabidopsis_thaliana-ensembl-tair10,blacklist
arabidopsis_thaliana-ensembl-tair10,bowtie2_index
arabidopsis_thaliana-ensembl-tair10,bwa_index
arabidopsis_thaliana-ensembl-tair10,cellranger_reference
arabidopsis_thaliana-ensembl-tair10,dbnsfp
arabidopsis_thaliana-ensembl-tair10,dbsnp
arabidopsis_thaliana-ensembl-tair10,ensembl_gtf
arabidopsis_thaliana-ensembl-tair10,ensembl_rb
arabidopsis_thaliana-ensembl-tair10,epilog_index
arabidopsis_thaliana-ensembl-tair10,fasta
arabidopsis_thaliana-ensembl-tair10,fasta_txome
arabidopsis_thaliana-ensembl-tair10,feat_annotation
arabidopsis_thaliana-ensembl-tair10,gtf
arabidopsis_thaliana-ensembl-tair10,kallisto_index
arabidopsis_thaliana-ensembl-tair10,refgene_anno
arabidopsis_thaliana-ensembl-tair10,salmon_index
arabidopsis_thaliana-ensembl-tair10,salmon_partial_sa_index
arabidopsis_thaliana-ensembl-tair10,salmon_sa_index
arabidopsis_thaliana-ensembl-tair10,star_index
arabidopsis_thaliana-ensembl-tair10,suffixerator_index
arabidopsis_thaliana-ensembl-tair10,tallymer_index
arabidopsis_thaliana-ensembl-tair10,tgMap
arabidopsis_thaliana-ensembl-tair10,bowtie2_index_extra
arabidopsis_thaliana-ensembl-tair9,bismark_bt1_index
arabidopsis_thaliana-ensembl-tair9,bismark_bt2_index
arabidopsis_thaliana-ensembl-tair9,blacklist
arabidopsis_thaliana-ensembl-tair9,bowtie2_index
arabidopsis_thaliana-ensembl-tair9,bwa_index
arabidopsis_thaliana-ensembl-tair9,cellranger_reference
arabidopsis_thaliana-ensembl-tair9,dbnsfp
arabidopsis_thaliana-ensembl-tair9,dbsnp
arabidopsis_thaliana-ensembl-tair9,ensembl_gtf
arabidopsis_thaliana-ensembl-tair9,ensembl_rb
arabidopsis_thaliana-ensembl-tair9,epilog_index
arabidopsis_thaliana-ensembl-tair9,fasta
arabidopsis_thaliana-ensembl-tair9,fasta_txome
arabidopsis_thaliana-ensembl-tair9,feat_annotation
arabidopsis_thaliana-ensembl-tair9,gtf
arabidopsis_thaliana-ensembl-tair9,kallisto_index
arabidopsis_thaliana-ensembl-tair9,refgene_anno
arabidopsis_thaliana-ensembl-tair9,salmon_index
arabidopsis_thaliana-ensembl-tair9,salmon_partial_sa_index
arabidopsis_thaliana-ensembl-tair9,salmon_sa_index
arabidopsis_thaliana-ensembl-tair9,star_index
arabidopsis_thaliana-ensembl-tair9,suffixerator_index
arabidopsis_thaliana-ensembl-tair9,tallymer_index
arabidopsis_thaliana-ensembl-tair9,tgMap
arabidopsis_thaliana-ensembl-tair9,bowtie2_index_extra
arabidopsis_thaliana-ncbi-tair10,bismark_bt1_index
arabidopsis_thaliana-ncbi-tair10,bismark_bt2_index
arabidopsis_thaliana-ncbi-tair10,blacklist
arabidopsis_thaliana-ncbi-tair10,bowtie2_index
arabidopsis_thaliana-ncbi-tair10,bwa_index
arabidopsis_thaliana-ncbi-tair10,cellranger_reference
arabidopsis_thaliana-ncbi-tair10,dbnsfp
arabidopsis_thaliana-ncbi-tair10,dbsnp
arabidopsis_thaliana-ncbi-tair10,ensembl_gtf
arabidopsis_thaliana-ncbi-tair10,ensembl_rb
arabidopsis_thaliana-ncbi-tair10,epilog_index
arabidopsis_thaliana-ncbi-tair10,fasta
arabidopsis_thaliana-ncbi-tair10,fasta_txome
arabidopsis_thaliana-ncbi-tair10,feat_annotation
arabidopsis_thaliana-ncbi-tair10,gtf
arabidopsis_thaliana-ncbi-tair10,kallisto_index
arabidopsis_thaliana-ncbi-tair10,refgene_anno
arabidopsis_thaliana-ncbi-tair10,salmon_index
arabidopsis_thaliana-ncbi-tair10,salmon_partial_sa_index
arabidopsis_thaliana-ncbi-tair10,salmon_sa_index
arabidopsis_thaliana-ncbi-tair10,star_index
arabidopsis_thaliana-ncbi-tair10,suffixerator_index
arabidopsis_thaliana-ncbi-tair10,tallymer_index
arabidopsis_thaliana-ncbi-tair10,tgMap
arabidopsis_thaliana-ncbi-tair10,bowtie2_index_extra
arabidopsis_thaliana-ncbi-build91,bismark_bt1_index
arabidopsis_thaliana-ncbi-build91,bismark_bt2_index
arabidopsis_thaliana-ncbi-build91,blacklist
arabidopsis_thaliana-ncbi-build91,bowtie2_index
arabidopsis_thaliana-ncbi-build91,bwa_index
arabidopsis_thaliana-ncbi-build91,cellranger_reference
arabidopsis_thaliana-ncbi-build91,dbnsfp
arabidopsis_thaliana-ncbi-build91,dbsnp
arabidopsis_thaliana-ncbi-build91,ensembl_gtf
arabidopsis_thaliana-ncbi-build91,ensembl_rb
arabidopsis_thaliana-ncbi-build91,epilog_index
arabidopsis_thaliana-ncbi-build91,fasta
arabidopsis_thaliana-ncbi-build91,fasta_txome
arabidopsis_thaliana-ncbi-build91,feat_annotation
arabidopsis_thaliana-ncbi-build91,kallisto_index
arabidopsis_thaliana-ncbi-build91,refgene_anno
arabidopsis_thaliana-ncbi-build91,salmon_index
arabidopsis_thaliana-ncbi-build91,salmon_partial_sa_index
arabidopsis_thaliana-ncbi-build91,salmon_sa_index
