sample_name,input_id,input_value,input_type,md5
dm6-fasta,fasta,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/215/GCF_000001215.4_Release_6_plus_ISO1_MT/GCF_000001215.4_Release_6_plus_ISO1_MT_genomic.fna.gz,files,869cf40e4f5c7ca27d04ca9ae7baee4f
hg18_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-40/homo_sapiens_40_36b/data/fasta/cdna/Homo_sapiens.NCBI36.40.cdna.all.fa.gz,files,404e4603578c95a0d8c5410729d1f568
hg18-fasta,fasta,http://big.databio.org/refgenomes/hg18.fa.gz,files,52e8b1332fb849677623bc00a905b116
hg18-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-40/homo_sapiens_40_36b/data/fasta/cdna/Homo_sapiens.NCBI36.40.cdna.all.fa.gz,files,404e4603578c95a0d8c5410729d1f568
hg18-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_3c/gencode.v3c.annotation.NCBI36.gtf.gz,files,5d430795e854b59562b0dfb4f49f174e
hg19_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-75/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh37.75.cdna.all.fa.gz,files,fdc309998a384129b364ac630b42b54a
hg19-dbsnp,dbsnp_vcf,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/common_all_20180423.vcf.gz,files,29b5ddb6f4da121de8fcfd061dc9000c
hg19-dbsnp,dbsnp_tbi,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606_b151_GRCh37p13/VCF/common_all_20180423.vcf.gz.tbi,files,e28e10364c70c71712c268a1542a6278
hg19-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/grch37/current/gtf/homo_sapiens/Homo_sapiens.GRCh37.87.gtf.gz,files,0bcc1531e8f85914f7bba0a242ee2f4c
hg19-ensembl_rb,gff,ftp://ftp.ensembl.org/pub/grch37/current/regulation/homo_sapiens/homo_sapiens.GRCh37.Regulatory_Build.regulatory_features.20191101.gff.gz,files,324640d5dd7f11edcbd5bafef1eec235
hg19-fasta,fasta,http://hgdownload.cse.ucsc.edu/goldenPath/hg19/bigZips/hg19.fa.gz,files,806c02398f5ac5da8ffd6da2d1d5d1a9
hg19-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-75/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh37.75.cdna.all.fa.gz,files,fdc309998a384129b364ac630b42b54a
hg19-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_32/GRCh37_mapping/gencode.v32lift37.annotation.gtf.gz,files,9b6f9f5ed80f4d14d4dbe4614db1c2bd
hg19-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/hg19/database/refGene.txt.gz,files,1b028ad27b0c66dfdeb1ef73b9e9ddc1
hg38_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz,files,b99e0ed778d922c87cd5ab70dfecd544
hg38_chr22-fasta,fasta,http://big.databio.org/refgenomes/hg38_chr22.fa.gz,files,6da24cadfe7566c501da07bd54555eb2
hg38_mm10-fasta,fasta,http://big.databio.org/refgenomes/hg38_mm10.fa.gz,files,36a0be3e1c0b29ff1ec173b73a24ef56
hg38_noalt_decoy-fasta,fasta,http://big.databio.org/refgenomes/hg38_noalt_decoy.fa.gz,files,26bd0879eb24d18fb9dc0b49c5cce9ab
hg38_primary-fasta,fasta,http://big.databio.org/refgenomes/hg38_primary.fa.gz,files,abce515a04ad837f7c1241508c7f2fd2
hg38-dbnsfp,dbnsfp,ftp://dbnsfp:dbnsfp@dbnsfp.softgenetics.com/dbNSFP4.0c.zip,files,01d0731cbc5b726a6ef2afc042ee89c0
hg38-dbsnp,dbsnp_vcf,ftp://ftp.ncbi.nih.gov/snp/organisms/human_9606/VCF/common_all_20180418.vcf.gz,files,a274dcecff9cfe6084eaef848080ad8d
