genome,asset
rCRSd,fasta
hg38,fasta
hg38,fasta_txome
hg38_cdna,fasta
hg19,fasta
hg19,fasta_txome
hg19_cdna,fasta
hg18,fasta
hg18,fasta_txome
hg18_cdna,fasta
mm10,fasta
mm10,fasta_txome
mm39,fasta
mm39,fasta_txome
mm10_cdna,fasta
mm39_cdna,fasta
rn6,fasta
rn6,fasta_txome
rn6_cdna,fasta
hs38d1,fasta
hg38_noalt_decoy,fasta
hg38_chr22,fasta
human_repeats,fasta
human_alu,fasta
human_alphasat,fasta
human_rDNA,fasta
mouse_chrM2x,fasta
hg18,bowtie2_index
hg19,bowtie2_index
mm10,bowtie2_index
mm39,bowtie2_index
rn6,bowtie2_index
hs38d1,bowtie2_index
hg38_noalt_decoy,bowtie2_index
hg38_chr22,bowtie2_index
human_repeats,bowtie2_index
human_alu,bowtie2_index
human_alphasat,bowtie2_index
human_rDNA,bowtie2_index
mouse_chrM2x,bowtie2_index
hg38,bowtie2_index
rCRSd,bowtie2_index
hg18,bwa_index
hg19,bwa_index
mm10,bwa_index
mm39,bwa_index
rn6,bwa_index
hs38d1,bwa_index
hg38_noalt_decoy,bwa_index
hg38_chr22,bwa_index
human_repeats,bwa_index
human_alu,bwa_index
human_alphasat,bwa_index
human_rDNA,bwa_index
mouse_chrM2x,bwa_index
hg38,bwa_index
rCRSd,bwa_index
hg19,salmon_sa_index
mm10,salmon_sa_index
mm39,salmon_sa_index
rn6,salmon_sa_index
hg38,salmon_sa_index
hg18,bismark_bt2_index
hg19,bismark_bt2_index
mm10,bismark_bt2_index
mm39,bismark_bt2_index
rn6,bismark_bt2_index
hs38d1,bismark_bt2_index
hg38_noalt_decoy,bismark_bt2_index
hg38_chr22,bismark_bt2_index
human_repeats,bismark_bt2_index
human_alu,bismark_bt2_index
human_alphasat,bismark_bt2_index
human_rDNA,bismark_bt2_index
mouse_chrM2x,bismark_bt2_index
hg38,bismark_bt2_index
rCRSd,bismark_bt2_index
hg18,hisat2_index
hg19,hisat2_index
mm10,hisat2_index
mm39,hisat2_index
rn6,hisat2_index
hs38d1,hisat2_index
hg38_noalt_decoy,hisat2_index
hg38_chr22,hisat2_index
human_repeats,hisat2_index
human_alu,hisat2_index
human_alphasat,hisat2_index
human_rDNA,hisat2_index
mouse_chrM2x,hisat2_index
hg38,hisat2_index
hg18,star_index
hg19,star_index
mm10,star_index
mm39,star_index
rn6,star_index
hs38d1,star_index
hg38_noalt_decoy,star_index
hg38_chr22,star_index
human_repeats,star_index
human_alu,star_index
human_alphasat,star_index
human_rDNA,star_index
mouse_chrM2x,star_index
hg38,star_index
rCRSd,star_index
rCRSd,hisat2_index
hg38_cdna,kallisto_index
hg18_cdna,kallisto_index
hg19_cdna,kallisto_index
mm10_cdna,kallisto_index
rn6_cdna,kallisto_index
hg38_cdna,salmon_index
hg19_cdna,salmon_index
mm10_cdna,salmon_index
rn6_cdna,salmon_index
hg18,gencode_gtf
hg19,gencode_gtf
hg38,gencode_gtf
mm10,gencode_gtf
mm39,gencode_gtf
hg19,ensembl_gtf
hg38,ensembl_gtf
mm10,ensembl_gtf
mm39,ensembl_gtf
rn6,ensembl_gtf
hg19,ensembl_rb
hg38,ensembl_rb
mm10,ensembl_rb
mm39,ensembl_rb
hg19,refgene_anno
hg38,refgene_anno
mm10,refgene_anno
mm39,refgene_anno
rn6,refgene_anno
hg19,feat_annotation
hg38,feat_annotation
mm10,feat_annotation
mm39,feat_annotation
hg38,dbnsfp
hg38,dbsnp
hg19,dbsnp
hg19,salmon_partial_sa_index
mm10,salmon_partial_sa_index
mm39,salmon_partial_sa_index
rn6,salmon_partial_sa_index
hg38,salmon_partial_sa_index
hg18,suffixerator_index
hg19,suffixerator_index
mm10,suffixerator_index
mm39,suffixerator_index
rn6,suffixerator_index
hs38d1,suffixerator_index
hg38_noalt_decoy,suffixerator_index
hg38_chr22,suffixerator_index
human_repeats,suffixerator_index
human_alu,suffixerator_index
human_alphasat,suffixerator_index
human_rDNA,suffixerator_index
mouse_chrM2x,suffixerator_index
hg38,suffixerator_index
hg18,tallymer_index
hg19,tallymer_index
mm10,tallymer_index
mm39,tallymer_index
rn6,tallymer_index
hs38d1,tallymer_index
hg38_noalt_decoy,tallymer_index
hg38_chr22,tallymer_index
human_repeats,tallymer_index
human_alu,tallymer_index
human_alphasat,tallymer_index
human_rDNA,tallymer_index
mouse_chrM2x,tallymer_index
hg38,tallymer_index
hg38,cellranger_reference
hg18,cellranger_reference
hg19,cellranger_reference
mm10,cellranger_reference
mm39,cellranger_reference
hg38_primary,fasta
mm10_primary,fasta
hg38_primary,bowtie2_index
mm10_primary,bowtie2_index
hg38_primary,bwa_index
mm10_primary,bwa_index
hg38_mm10,fasta
hg38_mm10,bowtie2_index
hg38_mm10,bwa_index
dm6,fasta
dm6,ensembl_gtf
dm6,gencode_gtf
dm6,refgene_anno
dm6,bowtie2_index
t7,fasta
t7,bowtie2_index
hg38,tgMap
hg19,tgMap
mm10,tgMap
mm139,tgMap
rn6,tgMap
